Wall time,Step,Value
1747487928.9981217,1,0.0
1747488085.0429153,2,0.0
1747488232.5896962,3,0.0
1747488394.372944,4,0.0
1747488524.4553523,5,0.0
1747488681.6408515,6,0.0
1747488846.0752172,7,0.0
1747489006.8384113,8,0.0
1747489161.6089473,9,0.0
1747489322.3694134,10,0.0
1747489484.5973854,11,0.0
1747489644.0312312,12,0.0
1747489806.4702187,13,0.0
1747489970.1051006,14,0.0
1747490127.754292,15,0.0
1747490287.1738894,16,0.0
1747490450.5325797,17,0.0
1747496571.263837,1,0.0
1747496666.397868,2,0.0
1747496761.2617114,3,0.0
1747496854.9550662,4,0.0
1747496941.71654,5,0.0
1747497036.238454,6,0.0
1747497130.47026,7,0.0
1747497223.5267172,8,0.0
1747497317.7196007,9,0.0
1747497409.6793566,10,0.0
1747497502.8360057,11,0.0
1747497595.9288204,12,0.0
1747497688.8854368,13,0.0
1747497781.1059024,14,0.0
1747497875.1657968,15,0.0
1747497966.5700672,16,0.0
1747498060.0588608,17,0.0
1747498153.8009794,18,0.0
1747498247.6440804,19,0.0
1747498340.7301075,20,0.0
1747498435.4724607,21,0.0
1747498529.141813,22,0.0
1747498621.7387772,23,0.0
1747498716.5244994,24,0.0
1747498809.371673,25,0.0
1747498901.9579284,26,0.0
1747498995.8221786,27,0.0
1747499081.130284,28,0.0
1747499173.7877133,29,0.0
1747511751.405967,1,0.11289999634027481
1747511846.7561114,2,0.08190000057220459
1747511940.7824435,3,0.0835999995470047
1747512034.8470116,4,0.12540000677108765
1747512129.1043768,5,0.07930000126361847
1747512223.0450053,6,0.121799997985363
1747514206.7077734,1,0.017500000074505806
1747514300.8789976,2,0.009700000286102295
1747514389.5072649,3,0.011699999682605267
1747514476.9410276,4,0.012600000016391277
1747514559.1073623,5,0.016100000590085983
1747514645.9168713,6,0.009399999864399433
1747514733.4053218,7,0.006599999964237213
1747514824.615013,8,0.009200000204145908
1747514914.81833,9,0.014100000262260437
1747515000.8293557,10,0.007899999618530273
1747515094.8815088,11,0.013199999928474426
1747515186.1962123,12,0.029400000348687172
1747515280.1675498,13,0.01889999955892563
1747515367.3021998,14,0.007799999788403511
1747515458.1273956,15,0.009600000455975533
1747515551.718022,16,0.00860000029206276
1747515644.6394057,17,0.013000000268220901
1747515729.4044461,18,0.010300000198185444
1747515820.9498355,19,0.010599999688565731
1747515911.286619,20,0.01269999984651804
1747516000.0182133,21,0.010999999940395355
1747516088.125213,22,0.013500000350177288
1747516177.7693217,23,0.006099999882280827
1747516272.9595087,24,0.013299999758601189
1747516368.0003319,25,0.008100000210106373
1747516462.146618,26,0.009999999776482582
1747516554.8121836,27,0.01080000028014183
1747516645.7945838,28,0.014700000174343586
1747516727.5650609,29,0.010400000028312206
1747516819.5637197,30,0.019999999552965164
1747516914.3507402,31,0.014999999664723873
1747517006.278624,32,0.014600000344216824
1747517099.361019,33,0.015300000086426735
1747517184.319948,34,0.008999999612569809
1747517389.9877572,1,0.0
1747517483.8539681,2,-0.0
1747517572.2260864,3,0.0
1747517665.4876947,4,0.0
1747522464.5237424,1,0.0
1747522559.3790743,2,0.0
1747522654.6998405,3,0.0
1747522749.3424227,4,0.0
1747522842.6715484,5,0.0
1747522937.4019754,6,0.0
1747523032.2050936,7,0.0
