Wall time,Step,Value
1747522464.524113,1,-2.0
1747522559.379425,2,-2.0
1747522654.7002206,3,-2.0
1747522749.3427637,4,-2.0
1747522842.6719053,5,-2.15625
1747522937.402317,6,-2.0
1747523032.205442,7,-2.0
1747526072.873668,1,-2.0
1747526493.6977882,1,-2.0
1747527719.4293683,1,-2.84375
1747527804.3831553,2,-4.34375
1747527867.4565935,3,-1.90625
1747527941.5508382,4,-3.84375
1747528027.5882337,5,-3.84375
1747528100.4087362,6,-3.90625
1747528187.3270729,7,-2.5
1747528257.719684,8,-4.34375
1747528327.3861532,9,-1.34375
1747528397.9853582,10,-3.84375
1747528478.3705692,11,-2.1875
1747528550.4323034,12,-2.5
1747528616.59366,13,-4.5
1747528695.1737485,14,-3.3125
1747528780.5699284,15,-3.34375
1747528850.1591527,16,-4.5
1747528917.3452556,17,-4.34375
1747528997.7704632,18,-3.1875
1747529068.966039,19,-4.5
1747529152.1069202,20,-4.5
1747529232.7217364,21,-3.25
1747529300.5887332,22,-3.84375
1747529371.7860456,23,-3.40625
1747529465.7176642,1,-2.28125
1747529546.0246217,2,-3.53125
1747529615.396199,3,-3.0
1747529695.6000829,4,-4.34375
1747529780.9846604,5,-2.34375
1747529863.5926023,6,-4.5
1747529937.2875166,7,-4.0
1747530003.9543452,8,-4.5
1747530074.4602752,9,-1.90625
1747530154.1550636,10,-2.40625
1747530240.1708477,11,-3.1875
1747530330.4363441,12,-2.1875
1747530422.3221433,13,-3.1875
1747530499.971999,14,-4.5
1747530575.315427,15,-4.5
1747530657.7548285,16,-4.1875
1747530729.6714613,17,-1.84375
1747530805.1067429,18,-2.34375
1747530897.6168814,19,-4.34375
1747530970.505116,20,-3.90625
1747531045.8246143,21,-3.6875
1747531117.4777348,22,-4.0
1747531190.1822007,23,-3.0
1747531263.3719833,24,-3.0
1747531339.637713,25,-2.25
1747531426.145331,26,-1.6875
1747531501.8744478,27,-1.34375
1747531574.4122844,28,-1.0
1747531647.0109031,29,-4.0
1747531724.5413284,30,-3.34375
1747531793.933386,31,-2.5
1747531862.354409,32,-3.0
1747531940.044753,33,-3.6875
1747532026.2598379,34,-2.34375
1747532106.9004204,35,-0.5
1747532176.8434267,36,-4.09375
1747532257.4019656,37,-3.6875
1747532338.6201618,38,-4.0
1747532415.1530254,39,-2.09375
1747532489.593495,40,-0.59375
1747532562.7130992,41,-4.5
1747532635.620955,42,-4.5
1747532714.4988825,43,-4.0
1747532782.0070052,44,-4.5
1747532862.1265032,45,-3.78125
1747532946.1932485,46,-4.0
1747533015.1798701,47,-4.34375
1747533086.7644327,48,-1.6875
1747533154.135488,49,-2.9375
1747533231.3332295,50,-3.5
1747533301.922842,51,-3.59375
1747533380.721552,52,-4.34375
1747533450.1636443,53,-3.5
1747533523.2277207,54,-3.09375
1747533590.3219278,55,-3.0
1747533660.6654942,56,-2.75
1747533741.405317,57,-4.09375
1747533800.502549,58,-2.09375
1747533875.4078617,59,-4.5
1747533956.012958,60,-4.5
1747534022.6276546,61,-4.0
1747534094.4886785,62,-3.9375
1747534172.517658,63,-0.59375
1747534261.2958558,64,-4.5
1747534336.519413,65,-2.65625
1747534414.37761,66,-4.5
1747534481.5432715,67,-3.34375
1747534563.6639295,68,-3.09375
1747534633.419231,69,-4.0
1747534716.1992743,70,-3.9375
1747534797.487745,71,-4.0
1747534877.0357559,72,-3.09375
1747534949.8703249,73,-4.0
1747535018.7470605,74,-2.34375
1747535101.6956897,75,-2.5
1747535180.3146322,76,-4.09375
1747535257.3801024,77,-3.9375
1747535339.5044568,78,-4.09375
1747535407.9926286,79,-4.0
1747535484.6835258,80,-0.59375
1747535560.85736,81,-2.0
1747535637.5221248,82,-3.1875
1747535704.070933,83,-4.5
1747535768.0524209,84,-3.09375
1747535849.41507,85,-2.75
1747535922.6353948,86,-1.25
1747535993.307236,87,-4.09375
1747536065.653059,88,-1.40625
1747536149.1296258,89,-4.5
1747536226.3225868,90,-3.0
1747536300.5918097,91,-3.5
1747536380.637277,92,-4.5
1747536460.4222355,93,-3.34375
1747536531.1954873,94,-3.5
1747536596.5006213,95,-1.09375
1747536660.1099896,96,-3.34375
1747536726.9771326,97,-1.59375
1747536809.464584,98,-4.0
1747536902.9570148,99,-4.34375
1747536964.2687833,100,-3.59375
1747537042.3439882,101,-4.34375
1747537109.5037622,102,-2.90625
1747537193.8262522,103,-1.53125
1747537262.689272,104,-3.90625
1747537338.464625,105,-4.5
1747537424.637711,106,-2.53125
1747537492.3519206,107,-2.9375
1747537574.60764,108,-4.1875
1747537657.4829137,109,-2.59375
1747537731.7152328,110,-4.5
1747537803.0454628,111,-2.5
1747537875.4134157,112,-4.5
1747537940.879834,113,-2.40625
1747538027.2826123,114,-2.4375
1747538093.7336855,115,-3.3125
1747538165.839568,116,-2.40625
1747538250.3844051,117,-3.59375
1747538335.3769522,118,-1.09375
1747538420.9630272,119,-3.5
1747538497.6466322,120,-4.5
1747538569.1857882,121,-0.21875
1747538654.963284,122,-3.9375
1747538721.7179325,123,-2.5
1747538788.5724351,124,-2.09375
1747538855.1937973,125,-4.5
1747538922.9667032,126,-2.125
1747538998.4003894,127,-2.6875
1747539075.119195,128,-1.3125
1747539163.0435581,129,-3.4375
1747539241.8830478,130,-3.28125
1747539317.8615975,131,-0.8125
1747539394.1783123,132,-0.125
1747539476.3993795,133,-3.6875
1747539537.231442,134,1.375
1747539618.7886097,135,-2.625
1747539680.401109,136,-0.375
1747539762.599165,137,-0.03125
1747539830.6447947,138,-2.59375
1747539901.9492874,139,-2.3125
1747539976.285836,140,-1.53125
1747540051.8277535,141,-2.875
1747540129.4112265,142,-1.3125
1747540192.7560556,143,-2.90625
1747540261.792754,144,-0.71875
1747540341.738344,145,-1.5625
1747540413.4039314,146,-0.53125
1747540491.1552198,147,-1.96875
1747540561.434225,148,-1.59375
1747540643.5521917,149,-3.90625
1747540719.8606899,150,-2.0
1747540805.1903706,151,0.125
1747540883.3834782,152,1.96875
1747540955.6960268,153,-0.71875
1747541025.7724571,154,-2.6875
1747541111.036912,155,-2.3125
1747541179.0728343,156,-1.71875
1747541244.0077333,157,-3.6875
