Wall time,Step,Value
1747487928.998521,1,2.875
1747488085.0433319,2,2.6875
1747488232.5901158,3,3.0625
1747488394.3733606,4,3.125
1747488524.455765,5,3.4375
1747488681.6412575,6,3.25
1747488846.0756059,7,2.625
1747489006.8388276,8,2.6875
1747489161.6093688,9,3.0
1747489322.3698223,10,2.5625
1747489484.5977888,11,3.125
1747489644.0316412,12,3.125
1747489806.4706292,13,3.25
1747489970.1055026,14,2.6875
1747490127.754708,15,2.5625
1747490287.174296,16,2.75
1747490450.532983,17,2.875
1747496571.2642794,1,3.0625
1747496666.3982687,2,2.375
1747496761.2621348,3,3.375
1747496854.9554758,4,2.8125
1747496941.7169583,5,3.75
1747497036.238868,6,3.875
1747497130.470666,7,3.3125
1747497223.5271466,8,2.1875
1747497317.7200398,9,2.625
1747497409.679762,10,3.8125
1747497502.8364196,11,2.4375
1747497595.9292638,12,3.625
1747497688.8858428,13,3.4375
1747497781.1063285,14,3.875
1747497875.1662104,15,2.9375
1747497966.5704803,16,3.0
1747498060.059292,17,2.9375
1747498153.8013942,18,2.875
1747498247.6444774,19,2.8125
1747498340.730523,20,3.625
1747498435.4728925,21,2.875
1747498529.142222,22,2.6875
1747498621.7391958,23,3.125
1747498716.5249057,24,2.6875
1747498809.372096,25,2.6875
1747498901.9583328,26,3.5625
1747498995.8225708,27,3.1875
1747499081.13068,28,3.3125
1747499173.788128,29,2.5625
1747511751.4063866,1,2.25
1747511846.7565124,2,2.875
1747511940.7828598,3,3.4375
1747512034.84741,4,3.25
1747512129.1047802,5,2.875
1747514206.708276,1,3.9375
1747514300.8794186,2,3.0625
1747514389.5076892,3,4.4375
1747514476.9414477,4,3.6875
1747514559.1077774,5,4.125
1747514645.9172804,6,3.75
1747514733.4057376,7,4.625
1747514824.6154213,8,2.8125
1747514914.8187344,9,4.0625
1747515000.8297703,10,4.0
1747515094.881915,11,3.0
1747515186.1966288,12,4.0625
1747515280.167963,13,3.0
1747515367.3026068,14,4.0
1747515458.1278057,15,3.5625
1747515551.7184267,16,3.6875
1747515644.639825,17,3.9375
1747515729.404858,18,4.125
1747515820.9502478,19,3.8125
1747515911.2870607,20,3.875
1747516000.018626,21,3.8125
1747516088.125637,22,4.125
1747516177.7697453,23,4.125
1747516272.959959,24,3.5
1747516368.0007274,25,3.625
1747516462.1470397,26,4.125
